Review,Label
kind of boring,0
not bad,1
excellent ,1
good communication,1
good explanation,1
awesome teaching,1
nice explanation,1
unable to understand,0
very rude,0
helpful,1
very good indeed,1
not bad..,1
teaching is good some lecturers are showing partiality between south people and north people,0
"THE STAFF SECURITY IS ABOVE 90%,CLASSES REGULAR,SPORTS DAILY,PARTICIPATION WELL,QUALITY BELOW AVERAGE",1
All terms are good regarding the university activities,1
GOOD,1
intraction is good and leacture delivery also good and then punctuality is also is good,1
all the given terms are good regarding the university,1
All the terms are good regarding the university activities.,1
Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject,0
Is good,1
not good enough.. we want something more.,0
good,1
LESS TIME FOR STUDY,0
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,1
HAVE TO IMPROVE,0
every one can tell depth of course but some one only give notes,0
we are getting maximum knowledge,1
Knowledge is maximum gainedby reading books and also teachers explain the concept in depth.,1
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,1
"LESS TIME FOR PAPER ATTEMTING,LESS KNOWLEDGE.",0
LESS DEPTH OF COURSE BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,1
Good,1
Not so good,0
strict paper correction.,1
super but paper checking is not good,0
NICE TIMING..,1
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,0
EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD,0
exam pattern is good and marks distribution is also good but paper checking is too hard,0
all are good,1
The examination pattern is good .But time is not sufficient for those questions.,0
MCQ pattern is quite good and efficient way for evolving students.,1
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,1
good,1
library facilities are not good.They are not following the rules( they are using phones in library).,0
They are good,1
We have a good library with all facalities.,1
THERE IS NO PROBLEM WITH THEM,1
average explanation,1
excellent communication,1
partial ,0
creats peaceful environment  ,1
easy to understand,1
difficult to understand,0
positive attitude,1
discouragement,0
good encouragement,1
satisfactory,1
above satisfactory,1
unsatisfactory,0
outstanding explanation,1
good campus availability,1
not available out of campus,0
egoist,0
sadist,0
freak,0
unnecessary homework,0
unnecessary seminars,0
helpful in co-curricular activities,1
inspiring,1
motivational,1
okay,1
good interaction with students,1
very good,1
nice..enough,1
labs are interesting and helpful toknoe the knowledge,1
NOT GOOD ...,0
Labs helps to know how the work is done.It thought me a good lessons.,1
IT IS GOOD,1
all labs and practical going on well,1
not bad,1
Labs are upto the mark.,1
Our labs do not have all facalities.,0
ALL PRACTICAL WORK IS GOOD,1
The best,1
good..,1
excllent,1
VERY HIGH NEED TO TAKE DOWN SOME ACCITIVTIES.,1
Yes.,1
VERY GOOD,1
they all are held in super,1
good,1
the extracurricular activities held in universityare very enjoyable and good,1
Our university has lot of extracurricular going on and it helps us a lot.,1
IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT,1
NOISE POLLITION IN THE UNIVERSITYALWAYS A BIG PROBLEM.,0
Very good indeed. ,1
"Teaching is excellent,but lecture delivery is not up to the mark.",0
Punctuality is good interaction of some faculty was good but not all faculty,1
"like the teaching style ""Interaction between students and teachers is good",1
"The lectures delivery is fine, punctuality is good",1
positive feedback is building our confidence,1
"the teachers are great ,i made a good progress",1
really enjoyed the variety,11
they are the best,1
i loved it,1
teachers are very professional,1
faculty is ready to help,1
very friendly,1
best place to learn technology,1
warm atmosphere ,1
excellent classrooms,1
super friendly,1
helpful staff,1
cool staff,1
i'm very pleased to study here,1
i'm very very pleased to study here,1
effective teaching,1
safe learning environment,1
Friendly learning environment,1
High quality teaching,1
Regular and reliable feedback on students progress and achievements,1
mechanisms for students learning related issues as required,1
